Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"External debt stocks, total (DOD, current US$)",3335545326.7,3414092731.3,3513160298.8,3691416630.7,3873237129.5,3948027445.6,4381821175.1,4527094223.8,5157578025.6,8094354233.7,9506426234.1,10946171835.0,12678187392.3,13823078747.7,14824423718.0,15043073564.1,16281345423.5,15367094881.6,17484024750.5,19511836131.6,20378217942.1,21129829604.4,23264893723.8,24274929980.6,25034633139.3,24813115712.1,26951811120.1
External health expenditure (% of current health expenditure),-1.0,-1.0,-1.0,-1.0,-1.0,2.69831038,1.9061532,2.15235543,2.58997178,3.07541466,2.33605027,3.28337121,2.98863673,2.21389437,3.71946573,2.66473556,3.25614429,4.01598883,2.62795353,2.78953719,1.6775192,1.6469028,1.08229291,1.68230891,0.86716801,0.99105793,-1.0
External health expenditure per capita (current US$),-1.0,-1.0,-1.0,-1.0,-1.0,2.24894441,1.90022796,2.30828063,2.92615027,3.74384563,3.08273263,4.87722431,4.73331115,3.87688663,6.28051624,4.65781758,6.20993934,8.04545275,5.21222126,6.0475783,3.91559267,4.05331317,2.87006756,4.47069124,2.41548742,2.86541173,-1.0
"External health expenditure per capita, PPP (current international $)",-1.0,-1.0,-1.0,-1.0,-1.0,7.33739826387178,5.96096824651025,6.87614264014969,8.62811946002696,10.6999127728916,8.25938671651007,12.7713034462168,11.9924178091188,9.01748132358788,15.3385670449266,10.806556310275,13.2948007115674,17.2771209347372,11.017832959369,12.4139516176358,8.03230818756163,7.98539821193234,5.36263858602682,8.65034298578014,4.69661756008437,5.51108806180501,-1.0
Female genital mutilation prevalence (%),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Female headed households (% of households with a female head),19.8,-1.0,-1.0,-1.0,19.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Female primary school age children out-of-school (%),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.4748764038085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.4748764038085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.4220199584961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.5026779174804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Female share of employment in senior and middle management (%),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.519,46.556,-1.0,32.622,-1.0,-1.0,-1.0,33.151,60.726,35.571,29.405,35.438,34.627,39.173,34.497,37.789,39.358,-1.0,48.03
"Fertility rate, total (births per woman)",5.105,5.008,4.906,4.8,4.687,4.583,4.502,4.371,4.25,4.134,3.974,3.845,3.716,3.571,3.465,3.375,3.292,3.219,3.151,3.088,3.029,2.973,2.857,2.743,2.61,2.484,2.395
Fertilizer consumption (% of fertilizer production),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fertilizer consumption (kilograms per hectare of arable land),137.269372693727,134.459955914769,145.033011645871,113.116537559147,122.17945768487,125.153780637835,115.554803598116,76.6342599079533,91.671826625387,119.780707010186,141.690714285714,136.043824701195,123.77347715736,77.1075268817204,103.969232766455,150.805225969871,172.99835593917,200.836973369029,207.005409717186,196.926420836577,199.587442176871,175.735063887021,206.231569148936,211.315976331361,176.951326397919,237.093455598456,219.349613899614
Final consumption expenditure (% of GDP),91.1162300536964,92.085939081106,91.9551953048065,90.6850046298844,90.9966658282021,90.9201318180948,94.981818579045,94.3892500212278,95.5994325104036,95.8320542816396,97.7401322021785,97.7041349098149,97.4950513697058,99.9013574543333,97.6752025029275,98.1365072289497,97.090585401118,97.8330987477263,96.8462831022675,96.5233910768681,95.4054826711764,95.0045904724567,95.4832212486185,96.8826054575856,95.9629537256592,94.9465564944392,97.2042426192826
Final consumption expenditure (annual % growth),4.85843947564304,2.53217103335304,4.20161464901332,5.05561685922436,3.96274446386914,3.95056611973274,3.94885413500594,2.995366315947,3.30694727779621,2.78109188613543,4.03545833521366,4.77382039055847,5.64135856655119,4.98038200944583,1.04620741256612,3.90712745480251,3.69383103773049,3.42911508450941,3.91178554604134,4.43356399912567,4.65316971624449,3.24262518195206,3.13995924601372,3.99940273311077,4.43672739305974,-1.32767241229911,8.03953699280761
Final consumption expenditure (constant 2015 US$),27831275812.2064,28536011316.5357,29734984548.2553,31238271440.1647,32476164312.2682,33759156656.5774,35092256510.1538,36143398141.1647,37338641262.097,38377063184.6304,39925753579.7248,41831737345.1978,44191615643.4583,46392526918.6486,46877888974.1482,48709467844.489,50508713286.0421,52240715192.3253,54284259938.3674,56690987344.1866,59328915199.1263,61252729543.5522,63176040288.2907,65702704570.2518,68617754461.9012,67706735465.9714,73150043510.3806
Final consumption expenditure (constant LCU),206745169700.0,211980311000.0,220886906800.0,232054102500.0,241249813600.0,250780547000.0,260683505000.0,268491930900.0,277370817500.0,285084754800.0,296589231300.0,310747868500.0,328278270000.0,344627781900.0,348233303300.0,361839222300.0,375204951800.0,388071161400.0,403251673000.0,421130094000.0,440725992000.0,455017084000.0,469304435000.0,488073809400.0,509728313800.0,502960791600.0,543396510500.0
Final consumption expenditure (current LCU),77591568300.0,87922327400.0,99195179100.0,112469840700.0,123106632000.0,136146553900.0,137380880800.0,150936382900.0,163795911000.0,179547970900.0,199842302900.0,220942789200.0,251124169400.0,290802065200.0,295962799500.0,321654722500.0,354331414700.0,380080858800.0,403251673000.0,431774540000.0,454151870000.0,476924664000.0,502726239000.0,534179763600.0,569993094600.0,569764262300.0,646960271500.0
Final consumption expenditure (current US$),13353452018.7244,14434319575.7815,16358853356.8613,17588802811.8354,16669144381.4063,17537519700.4209,17481612904.4983,19297132707.7234,20626869876.2105,22594609108.2157,26178120104.1035,29061359047.9401,32726993404.6664,38465739174.511,36263040499.0226,39918573325.0548,45512188902.3813,48519278008.018,51325088388.2449,55840859943.0462,59328915199.1263,62753765458.8453,68417312528.0436,71042431386.9958,74056835099.9351,73787890191.8631,83647248043.4134
Financial intermediary services indirectly Measured (FISIM) (constant LCU),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Financial intermediary services indirectly Measured (FISIM) (current LCU),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Firms competing against unregistered firms (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.8,-1.0,-1.0,-1.0,69.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.1,-1.0,-1.0,-1.0,-1.0
Firms expected to give gifts in meetings with tax officials (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.8,-1.0,-1.0,-1.0,3.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,-1.0,-1.0,-1.0,-1.0
Firms experiencing electrical outages (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.9,-1.0,-1.0,-1.0,61.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.4,-1.0,-1.0,-1.0,-1.0
Firms experiencing losses due to theft and vandalism (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.8,-1.0,-1.0,-1.0,34.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.4,-1.0,-1.0,-1.0,-1.0
Firms formally registered when operations started (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.3,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.0,-1.0,-1.0,-1.0,-1.0
Firms offering formal training (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.1,-1.0,-1.0,-1.0,51.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.7,-1.0,-1.0,-1.0,-1.0
Firms that do not report all sales for tax purposes (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Firms that spend on R&D (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.8,-1.0,-1.0,-1.0,47.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,-1.0,-1.0,-1.0,-1.0
Firms using banks to finance investment (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.8,-1.0,-1.0,-1.0,26.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.6,-1.0,-1.0,-1.0,-1.0
Firms using banks to finance working capital (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.8,-1.0,-1.0,-1.0,26.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0
Firms visited or required meetings with tax officials (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.6,-1.0,-1.0,-1.0,60.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.3,-1.0,-1.0,-1.0,-1.0
Firms with female participation in ownership (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.4,-1.0,-1.0,-1.0,44.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.5,-1.0,-1.0,-1.0,-1.0
Firms with female top manager (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.5,-1.0,-1.0,-1.0,-1.0
"Fish species, threatened",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.0,-1.0,-1.0,-1.0
Fixed broadband subscriptions,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27106.0,39000.0,57000.0,94500.0,156000.0,259000.0,-1.0,280302.0,352826.0,433734.0,459847.0,506000.0,531000.0,-1.0,585000.0,612000.0,-1.0
Fixed broadband subscriptions (per 100 people),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.206399025,0.29077557,0.416161493,0.675992212,1.094014332,1.780910714,-1.0,1.852831375,2.287711421,2.76022131,2.873844916,3.10600869,3.202900489,-1.0,3.419785111,3.524793756,-1.0
Fixed telephone subscriptions,286352.0,338035.0,429712.0,517000.0,610701.0,676631.0,756085.0,845968.0,944140.0,1132121.0,1248161.0,1354926.0,1413695.0,1448891.0,1413234.0,1498604.0,1626341.0,1743842.0,1863052.0,1718298.0,1718851.0,2454778.0,2461109.0,2436093.0,1974006.0,2272467.0,2319643.0
Fixed telephone subscriptions (per 100 people),2.763191288,3.179323595,3.940366687,4.622662024,5.327350171,5.765483226,6.295884636,6.883465518,7.510756927,8.80861029,9.504139783,10.10203538,10.32149863,10.3644342,9.910886221,10.30455567,10.96400744,11.52701433,12.07996389,10.93500338,10.74207553,15.06830395,14.84498535,14.45737421,11.53961766,13.08819852,13.17344032
Food exports (% of merchandise exports),65.1789674995997,60.5534538949631,61.1371003895078,60.7869498307675,57.6723911632718,56.1810283472268,51.2015388269541,48.1905193764562,47.0185686423078,45.2311473435757,33.8221143709804,49.7989031781042,37.3271290374138,37.6746374922553,44.2776216980074,42.0382673128573,40.5419452957866,44.0942736044836,43.8080580542406,42.3465480429524,42.7638974306914,44.942184311768,47.637296286,47.3058130915986,48.1840931282471,51.4249120220935,45.7991920096938
Food imports (% of merchandise imports),11.8607325722898,14.3099096182086,13.1884856242186,11.8802229727264,12.6821813806296,12.6695915152408,14.079602273116,12.3443296843716,12.6169927254118,12.397905126684,10.8647284472579,10.0660269897735,11.3052294524696,12.6474875810355,13.7097635120186,13.3084941708299,13.2080099927777,13.2833532715704,13.2516390465932,13.5666065238897,14.2717691496301,14.7037479209953,14.5825879494011,14.7263282022478,15.571192391491,17.6939473651915,15.6928076388092
Food production index (2014-2016 = 100),40.13,41.88,42.93,45.24,44.7,45.13,50.08,54.75,55.92,58.28,59.86,62.13,68.1,68.52,74.16,73.89,76.01,81.36,86.35,96.67,100.7,102.63,100.23,103.3,101.74,105.36,104.8
"Food, beverages and tobacco (% of value added in manufacturing)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Foreign direct investment, net (BoP, current US$)",-75200000.0,-76900000.0,-84400000.0,-672800000.0,-154600000.0,-229900000.0,-455528171.100864,-110616944.84904,-131009111.20936,-254800000.0,-470200000.0,-551800000.0,-719700000.0,-720573960.0,-491317170.0,-607978520.0,-1139573000.0,-1226235210.0,-1448858730.0,-1387742500.0,-1048092040.0,-965023370.0,-934016770.0,-780134280.0,-796287070.0,-782620480.0,-2985588770.0
"Foreign direct investment, net inflows (% of GDP)",0.513121288070686,0.490595256545279,3.54917970403487,6.94130368276462,5.04738067531559,-4.08835554722306,-5.088199966054,-4.97449876130187,0.0903239703402523,1.36317570702825,2.01617500337249,2.13587522888421,2.55959192771149,1.89952208705823,1.34627822535543,2.71030706792051,1.87038244023626,2.82256297187213,2.87216145071537,2.4330214271829,1.93508800636056,1.28045871307284,1.39328983248607,1.25790048523713,1.51707101923107,1.29237508091971,4.18087598337157
"Foreign direct investment, net inflows (BoP, current US$)",75200000.0,76900000.0,631400000.0,1346300000.0,924600000.0,-788600000.0,-936494410.38247,-1016996773.78154,19488617.59936,321400000.0,540000000.0,635300000.0,859200000.0,731386670.0,499821250.0,1102460180.0,876760590.0,1399819890.0,1522143500.0,1407555280.0,1203355080.0,845786560.0,998344470.0,922397870.0,1170758860.0,1004371660.0,3597772700.0
"Foreign direct investment, net outflows (% of GDP)",-0.130016200417741,0.0522914676820734,3.07475656969761,3.47245638441801,4.20342106856263,-5.28023094705387,-7.56319436968897,-5.51556621531599,-0.516864457204534,0.2824751153954,0.260609287472963,0.280726556920875,0.415576203347013,0.0280822474737684,0.0229059043221565,1.21564221762193,-0.56065443901872,0.350011950646217,0.138282422990042,0.034247264712801,0.249674988604328,-0.180515770176711,0.0897757568158955,0.194008946369939,0.485241085537103,0.285338297176307,0.357925640265752
"Foreign direct investment, net outflows (BoP, current US$)",-19054400.0,8196601.6,547000000.0,673500000.0,770000000.0,-1018500000.0,-1392022581.48333,-1127613718.63058,-111520493.61,66600000.0,69800000.0,83500000.0,139500000.0,10812710.0,8504080.0,494481660.0,-262812410.0,173584680.0,73284770.0,19812780.0,155263050.0,-119236810.0,64327700.0,142263590.0,374471790.0,221751180.0,308006050.0
Forest area (% of land area),41.9484882418813,41.4147069802165,40.8809257185517,40.3471444568869,39.8133631952221,39.2795819335573,38.8254945875327,38.371407241508,37.9173198954834,37.4632325494588,37.0091452034341,36.5550578574095,36.1009705113849,35.6468831653602,35.1927958193356,34.7387084733109,34.4833893243748,34.2280701754386,33.9727510265024,33.7174318775663,33.4621127286301,33.3538633818589,33.2456140350877,33.1373646883165,33.0291153415453,32.9208659947742,32.812616648003
Forest area (sq. km),44952.0,44380.0,43808.0,43236.0,42664.0,42092.0,41605.4,41118.8,40632.2,40145.6,39659.0,39172.4,38685.8,38199.2,37712.6,37226.0,36952.4,36678.8,36405.2,36131.6,35858.0,35742.0,35626.0,35510.0,35394.0,35278.0,35162.0
Forest rents (% of GDP),1.36040192313683,0.91357439581267,1.08987577093115,0.887971829230444,0.8623944477202,0.805690223228915,0.86543116790805,0.749258551604742,0.746898280107875,0.726917937596055,0.644920186436473,0.832078830336439,0.778789432854998,0.736644290570657,0.767591429206855,1.53514286279195,1.1783167061548,1.0715499454609,1.37283099676065,1.58356683665284,1.15979900766278,1.48066745078496,1.19077831522059,0.813409564189017,0.707415076540027,0.945638359128909,0.688766877489161
Fossil fuel energy consumption (% of total),36.6179652855819,37.706984402384,38.2535165386718,42.2166072709601,40.3101463582768,42.2766651403094,43.2444452729522,44.3008727826125,42.4863745604654,42.9753270934075,44.1683187243273,43.1870956030724,43.4046497223569,40.3671628844131,39.0493028294798,32.6603557483935,30.9210722477406,30.8761577167161,32.6537067630652,37.3785969634422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fuel exports (% of merchandise exports),2.01328659272228,3.20964272479908,4.19868584337978,2.36022050399979,3.47613307176171,5.98784939396314,5.3650298997809,7.15402228818343,8.19705664111192,8.27519812587276,5.65421306924021,8.78466264407755,5.06236157782731,6.98086379688782,4.05012640218242,4.51771285671813,5.07864763153542,3.95916423752873,4.60521260126621,6.54261244833977,4.11851881622466,3.19119223769435,3.46205566813166,4.18284694557494,4.5514849831038,2.36062512977755,2.71077430779677
Fuel imports (% of merchandise imports),12.4469447162155,14.7998488753037,10.6767405777109,8.24635336686683,9.80735312564498,14.3561297097302,13.6298034309215,12.1258939178945,13.7022990625465,14.3576333949438,15.4888386663473,19.4711647250679,18.0369017258413,19.5497246295483,19.2799214177009,18.0810191842321,19.9467878214914,19.6623107718226,19.0626687159922,19.5027730648208,14.2364270749942,13.5929753984135,15.3234730151473,16.6399454603014,16.4673068732895,11.8172619186615,15.0732710698445
GDP (constant 2015 US$),30509434368.8016,31411836282.3237,32782677071.6206,34419689165.7789,35743836013.2142,37033784129.5252,37897624870.0919,39352623487.4664,40360199271.019,41626668759.0246,42990369635.9208,45290955325.2902,48161368665.894,49747574901.7709,49984820144.5551,51426470044.8962,53567820370.7454,55161306913.2601,57199417471.4099,59741346761.3617,62186064718.7424,63851284748.839,65817809494.3628,68060138938.4754,70794725855.0224,69526185112.429,75089954137.2623
GDP (constant LCU),222093460300.0,228662496000.0,238641533000.0,250558164300.0,260197292700.0,269587471400.0,275875801000.0,286467465000.0,293802114000.0,303021380000.0,312948442000.0,329695558000.0,350590735000.0,362137525000.0,363864552000.0,374359044000.0,389947006000.0,401546793000.0,416383221000.0,434887198000.0,452683525000.0,464805496000.0,479120815000.0,495443854600.0,515350283000.0,506115939300.0,546617401900.0
GDP (current LCU),85156693000.0,95478558700.0,107873382000.0,124022534000.0,135286970000.0,149743023000.0,144639135000.0,159908446000.0,171335652000.0,187356905000.0,204462894000.0,226134533000.0,257576324000.0,291089203000.0,303007101000.0,327762554000.0,364949303000.0,388499254000.0,416383221000.0,447326327000.0,476022821000.0,502001705000.0,526507414000.0,551368082100.0,593972019900.0,600089443300.0,665567936200.0
GDP (current US$),14655404433.2771,15674835615.3139,17790026221.6139,19395491992.9939,18318412251.3642,19288929030.0508,18405220247.4412,20444205991.025,21576351798.9145,23577298094.6571,26783389293.922,29744246827.1839,33567850824.1039,38503720224.3166,37126148264.6383,40676578423.4871,46876006272.2387,49593929487.1263,52996446269.442,57852153058.502,62186064718.7424,66053403469.0024,71653754066.2763,73328365862.4329,77172317258.6478,77715183063.2054,86053083476.0294
GDP deflator (base year varies by country),38.3427287255428,41.7552333111942,45.2031046917554,49.4985004166556,51.9939960159316,55.545245564405,52.4290765901573,55.8208053399712,58.3166845423039,61.8295992843805,65.3343703177791,68.5888928476252,73.4692330075408,80.3808450946916,83.2746964040619,87.5529947127443,93.5894614869796,96.750680312369,100.0,102.860311606597,105.155764394121,108.002532095705,109.890323591973,111.287702326059,115.255980154376,118.567584362186,121.761205165905
GDP deflator: linked series (base year varies by country),33.6377394747134,36.6314998048679,39.6562871138728,43.4246000936096,45.613876486263,48.729356554891,52.4290765901573,55.8208053399712,58.3166845423039,61.8295992843805,65.3343703177791,68.5888928476252,73.4692330075408,80.3808450946916,83.2746964040619,87.5529947127443,93.5894614869796,96.750680312369,100.0,102.860311606597,105.155764394121,108.002532095705,109.890323591973,111.287702326059,115.255980154376,118.567584362186,121.761205165905
GDP growth (annual %),4.94854750210382,2.95777988740716,4.36408994678341,4.99352780305848,3.8470621889051,3.6088687174876,2.33257486608854,3.83928708556792,2.56037766801896,3.13791683609193,3.27602692588886,5.35139778711536,6.33771869016203,3.29352400028485,0.476898106596394,2.88417542800377,4.16390688293349,2.97470856847661,3.69481919881751,4.44397758285268,4.09217081621244,2.67780255532826,3.07985149125689,3.40687339997949,4.0178979343828,-1.79185769458479,8.0024080363912
GDP per capita (constant 2015 US$),2965.88597923604,2981.11504099801,3038.70755093504,3115.97132282677,3160.07333812164,3195.38807828092,3192.30235188806,3239.56082941934,3250.83475571572,3282.31464035983,3320.15756486808,3427.67155026705,3573.59263299097,3620.82336964724,3570.29584202465,3606.4234821491,3688.85893591305,3731.66847179214,3802.14635151493,3903.05196634916,3994.62908519019,4034.15057717449,4091.25998307266,4163.47630221389,4263.70844366435,4124.14353853545,4388.72407207344
GDP per capita (constant LCU),21590.170175602,21701.0301470768,22120.274885103,22682.7165956846,23003.7572634545,23260.8309524243,23238.3684038288,23582.3865418434,23664.4551004427,23893.6129545656,24169.0905642227,24951.7387365638,26013.9714151878,26357.7876134729,25989.9724218028,26252.9636169433,26853.0525912758,27164.6846537485,27677.7284549881,28412.2709866959,29078.9067217886,29366.603465193,29782.3314468487,30308.0302197046,31037.670201191,30021.7073242058,31947.7216026468
GDP per capita (current LCU),8278.26038181411,9061.31576884451,9999.0510144172,11227.6045686237,11960.5726350751,12920.2856728452,12183.6619687463,13163.8780860419,13800.3256295803,14773.3251443687,15790.7231316686,17114.1213456411,19112.2652735394,21186.6124319734,21643.0706297557,22985.2558474811,25131.6273129904,26282.0172072113,27677.7284549881,29224.9504714263,30578.1466407501,31716.6753329134,32727.9004001761,33729.1104517968,35772.7710074653,35596.0131585964,38899.930846431
GDP per capita (current US$),1424.68254256258,1487.60765839974,1649.00160206099,1755.84958223191,1619.51073552531,1664.30774802438,1550.36174652973,1682.99450068936,1737.87928692973,1859.09929915887,2068.48820631493,2251.07878386326,2490.74782825487,2802.45158245094,2651.83174404335,2852.55759284808,3228.03827784076,3355.03477737406,3522.76742900978,3779.62620518889,3994.62908519019,4173.28134863663,4454.02450948165,4485.75213495073,4647.80754129437,4609.89725752869,5029.47755484093
GDP per capita growth (annual %),2.40548937446665,0.513474282848065,1.9319116889144,2.54265244669416,1.41535369635115,1.11752913241804,-0.0965681262265718,1.48038851969432,0.348007859398564,0.968363113159469,1.15293409239077,3.23821937056923,4.25714892993594,1.32165978349745,-1.39547065582242,1.0118948603419,2.28579516997895,1.16050888968185,1.88864258053816,2.65391190936224,2.34629514622338,0.989365749396498,1.41564884120322,1.76513639905617,2.40741472209567,-3.27332196778804,6.41540555186262
"GDP per capita, PPP (constant 2017 international $)",6033.04269462534,6064.02081733548,6181.17234432379,6338.33807417112,6428.04797639113,6499.88328517311,6493.60646967771,6589.73707436894,6612.66987730145,6676.70453318824,6753.68253599957,6972.38159210706,7269.2062604465,7365.2804361703,7262.50010896451,7335.98897429945,7503.67465594417,7590.75546737921,7734.11770732066,7939.37437823934,8125.65553391647,8206.04798668298,8322.21680991504,8469.11528803522,8673.00201631063,8389.10673604404,8927.30195533989
"GDP per capita, PPP (current international $)",4065.41710143536,4161.11066580007,4314.64139727207,4474.14523069699,4601.41372712322,4758.24808060095,4860.75066989961,5009.58647766029,5126.23346929034,5314.81560180174,5544.67670718747,5900.851227424,6318.32028813515,6524.60973733199,6474.79693497431,6618.91603119075,6910.87650155221,7204.73293807874,7446.58800936721,7758.49316980639,8194.44068126819,8221.74642722194,8322.21680991504,8672.71778183822,9040.8341127902,8859.0117398945,9850.90466668914
GDP per person employed (constant 2017 PPP $),17877.7895968418,17916.835088966,18166.9032269451,18516.8819094794,18685.7049435758,18809.6994234777,18728.8533210561,18887.3716800765,18838.0552069325,18897.1116211322,19107.6520390381,19700.566406583,20511.4624894726,20775.4971502551,20474.9481866549,20634.1088301261,20493.7092290316,19294.0991564677,21114.2974808791,21232.0649590349,21544.6047737304,21557.6376698768,21565.3263604199,21888.8581534307,22716.9403130712,22852.4560566101,23691.0931130941
GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),11.6646901413816,11.6843574064276,11.653882004758,11.2515403527585,10.6369723181088,10.6994750831237,10.724282108907,11.046600807477,10.898560190145,10.914351890569,11.2115541365404,11.629688310845,11.5097824003699,12.4052953427754,10.8590605895334,10.2614128987103,9.99678110185817,10.1339173103792,9.65977159153262,9.19367760997548,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GDP per unit of energy use (PPP $ per kg of oil equivalent),7.86035060318135,8.01776670817388,8.13475485485005,7.9423068031713,7.61430384765956,7.83256476217711,8.02759786699076,8.39774051752243,8.44871512572711,8.68808368308171,9.20452549270531,9.84241318938906,10.004186020691,10.989358991745,9.68126831902189,9.25838773420832,9.2070249278818,9.61856407463264,9.30065225651348,8.98421985715893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"GDP, PPP (constant 2017 international $)",62060619128.4742,63896235639.0566,66684724834.9537,70014645109.9801,72708152048.7023,75332093803.0512,77089271289.1994,80048949726.1641,82098505158.4365,84674687973.9829,87448653551.4229,92128378862.436,97967216348.5439,101193790131.394,101676381400.524,104608906608.961,108964724071.413,112206107054.982,116351919840.696,121522573075.635,126495484346.146,129882783658.342,133882980507.73,138444204157.747,144006750976.874,141426354928.774,152743868921.169
"GDP, PPP (current international $)",41820075723.2058,43845381741.1167,46547913293.9569,49422370159.5035,52046949577.7614,55146958032.8737,57704717526.5067,60854041909.9349,63643900683.2183,67403065462.1346,71794093050.2619,77969894548.8584,85152109934.6424,89643564039.5157,90648387301.058,94383670884.0624,100356396780.438,106499944416.169,112026328527.748,118753948140.898,127566291555.947,130131253708.676,133882980507.73,141772483943.82,150114244670.455,149348169962.051,168546476717.266
